State,County,Violent Crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson1,
ARKANSAS - Nonmetropolitan Counties,Scott,10.0,2.0,2.0,1.0,5.0,84.0,37.0,43.0,4.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Searcy,14.0,0.0,1.0,0.0,13.0,40.0,18.0,20.0,2.0,3.0,
ARKANSAS - Nonmetropolitan Counties,St. Francis,33.0,0.0,2.0,9.0,22.0,411.0,160.0,251.0,0.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Stone,11.0,1.0,4.0,0.0,6.0,98.0,42.0,50.0,6.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Union,39.0,2.0,5.0,4.0,28.0,464.0,116.0,307.0,41.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Van Buren,36.0,0.0,4.0,0.0,32.0,138.0,27.0,96.0,15.0,3.0,
ARKANSAS - Nonmetropolitan Counties,White,51.0,2.0,21.0,1.0,27.0,736.0,308.0,325.0,103.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Yell,45.0,0.0,6.0,3.0,36.0,110.0,73.0,32.0,5.0,2.0,
CALIFORNIA - Metropolitan Counties,Alameda,637.0,3.0,28.0,260.0,346.0,2503.0,553.0,1157.0,793.0,33.0,
CALIFORNIA - Metropolitan Counties,Butte,134.0,6.0,12.0,27.0,89.0,1244.0,508.0,729.0,7.0,19.0,
CALIFORNIA - Metropolitan Counties,Contra Costa,428.0,11.0,29.0,161.0,227.0,2792.0,989.0,1785.0,18.0,13.0,
CALIFORNIA - Metropolitan Counties,El Dorado,312.0,3.0,33.0,34.0,242.0,1862.0,715.0,1129.0,18.0,12.0,
CALIFORNIA - Metropolitan Counties,Fresno,774.0,16.0,23.0,143.0,592.0,5087.0,1630.0,2604.0,853.0,238.0,
CALIFORNIA - Metropolitan Counties,Imperial2,4,,2.0,3.0,12.0,,,295.0,,13.0,19.0,
