State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3
CALIFORNIA-Metropolitan Counties,San Mateo,238,3,,9,37,189,1598,214,1122,262,4
CALIFORNIA-Metropolitan Counties,Santa Barbara,193,2,,35,23,133,1602,486,1108,8,6
CALIFORNIA-Metropolitan Counties,Santa Clara,321,3,,31,36,251,1757,430,1078,249,5
CALIFORNIA-Metropolitan Counties,Santa Cruz,256,4,,21,33,198,2396,710,1674,12,29
CALIFORNIA-Metropolitan Counties,Shasta,349,10,,31,23,285,968,369,547,52,20
CALIFORNIA-Metropolitan Counties,Solano,186,2,,8,27,149,518,261,244,13,23
CALIFORNIA-Metropolitan Counties,Sonoma,524,2,,44,37,441,1726,705,997,24,22
CALIFORNIA-Metropolitan Counties,Stanislaus,779,12,,36,120,611,3826,1738,1634,454,253
CALIFORNIA-Metropolitan Counties,Sutter,124,0,,6,8,110,938,357,521,60,12
CALIFORNIA-Metropolitan Counties,Tulare3,488,10,,36,97,345,,783,2038,,
CALIFORNIA-Metropolitan Counties,Ventura,184,1,,13,24,146,1303,317,891,95,19
CALIFORNIA-Metropolitan Counties,Yolo,30,3,,1,7,19,389,145,223,21,10
CALIFORNIA-Metropolitan Counties,Yuba,222,0,,17,37,168,1138,513,606,19,20
CALIFORNIA-Nonmetropolitan Counties,Alpine,15,1,,1,0,13,74,15,59,0,0
CALIFORNIA-Nonmetropolitan Counties,Amador,104,0,,17,8,79,457,160,290,7,0
CALIFORNIA-Nonmetropolitan Counties,Calaveras,48,0,,18,9,21,633,254,374,5,3
CALIFORNIA-Nonmetropolitan Counties,Colusa,34,0,,2,0,32,310,82,219,9,0
CALIFORNIA-Nonmetropolitan Counties,Del Norte,57,0,,21,3,33,225,104,120,1,3
CALIFORNIA-Nonmetropolitan Counties,Glenn,9,2,,0,1,6,133,56,73,4,1
CALIFORNIA-Nonmetropolitan Counties,Humboldt,136,1,,17,17,101,894,246,626,22,4
CALIFORNIA-Nonmetropolitan Counties,Inyo,104,0,,2,0,102,132,5,126,1,2
CALIFORNIA-Nonmetropolitan Counties,Lake,147,3,,9,13,122,754,334,411,9,18
CALIFORNIA-Nonmetropolitan Counties,Lassen,36,0,,7,2,27,117,50,67,0,3
CALIFORNIA-Nonmetropolitan Counties,Mariposa,31,0,,6,1,24,306,101,205,0,0
