State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3
KANSAS-Metropolitan Counties,Harvey,8,0,,2,0,6,90,35,53,2,0
KANSAS-Metropolitan Counties,Jackson,27,0,,4,0,23,164,40,112,12,5
KANSAS-Metropolitan Counties,Jefferson,19,0,,2,0,17,364,121,219,24,6
KANSAS-Metropolitan Counties,Johnson,136,0,,17,2,117,240,52,188,0,10
KANSAS-Metropolitan Counties,Leavenworth,57,0,,4,2,51,260,101,140,19,20
KANSAS-Metropolitan Counties,Linn,15,0,,2,0,13,102,39,55,8,2
KANSAS-Metropolitan Counties,Miami,24,0,,3,1,20,220,96,107,17,14
KANSAS-Metropolitan Counties,Osage,19,0,,0,4,15,86,33,47,6,2
KANSAS-Metropolitan Counties,Shawnee,102,0,,11,7,84,1535,292,1167,76,14
KANSAS-Metropolitan Counties,Sumner,15,0,,0,1,14,97,33,56,8,0
KANSAS-Metropolitan Counties,Wabaunsee,8,0,,0,1,7,84,31,49,4,3
KANSAS-Nonmetropolitan Counties,Allen,13,0,,1,0,12,63,24,30,9,3
KANSAS-Nonmetropolitan Counties,Anderson,9,0,,2,1,6,68,21,41,6,2
KANSAS-Nonmetropolitan Counties,Barber,3,0,,1,0,2,24,6,11,7,0
KANSAS-Nonmetropolitan Counties,Barton,22,1,,2,1,18,90,35,49,6,
KANSAS-Nonmetropolitan Counties,Bourbon,11,0,,0,0,11,74,27,37,10,3
KANSAS-Nonmetropolitan Counties,Brown,13,0,,0,0,13,82,36,40,6,1
KANSAS-Nonmetropolitan Counties,Chautauqua,9,0,,2,0,7,43,17,22,4,1
KANSAS-Nonmetropolitan Counties,Cherokee,20,1,,2,1,16,166,56,95,15,9
KANSAS-Nonmetropolitan Counties,Cheyenne,1,0,,0,0,1,18,9,9,0,0
KANSAS-Nonmetropolitan Counties,Clark,2,0,,0,0,2,28,18,10,0,0
KANSAS-Nonmetropolitan Counties,Clay,15,0,,6,0,9,86,46,34,6,7
KANSAS-Nonmetropolitan Counties,Coffey,10,1,,1,0,8,55,27,23,5,1
KANSAS-Nonmetropolitan Counties,Cowley,48,0,,3,1,44,222,105,98,19,1
KANSAS-Nonmetropolitan Counties,Crawford,31,0,,2,1,28,305,119,166,20,14
KANSAS-Nonmetropolitan Counties,Dickinson,8,0,,4,1,3,124,38,81,5,4
KANSAS-Nonmetropolitan Counties,Elk,4,0,,1,0,3,55,22,31,2,0
KANSAS-Nonmetropolitan Counties,Ellis,13,0,,2,0,11,93,33,56,4,6
KANSAS-Nonmetropolitan Counties,Ellsworth,8,0,,0,0,8,47,10,30,7,1
KANSAS-Nonmetropolitan Counties,Finney,44,1,,3,3,37,281,89,174,18,7
KANSAS-Nonmetropolitan Counties,Ford,17,0,,2,0,15,56,25,25,6,0
KANSAS-Nonmetropolitan Counties,Geary,4,0,,0,0,4,34,8,24,2,1
KANSAS-Nonmetropolitan Counties,Grant,3,0,,1,0,2,13,5,8,0,0
KANSAS-Nonmetropolitan Counties,Gray,0,0,,0,0,0,12,2,10,0,1
KANSAS-Nonmetropolitan Counties,Greenwood,16,0,,4,1,11,193,57,129,7,5
KANSAS-Nonmetropolitan Counties,Harper,2,0,,1,0,1,20,4,13,3,0
KANSAS-Nonmetropolitan Counties,Haskell,6,0,,0,0,6,48,9,35,4,1
KANSAS-Nonmetropolitan Counties,Hodgeman,3,0,,0,0,3,40,20,19,1,0
KANSAS-Nonmetropolitan Counties,Kearny,16,0,,4,1,11,89,19,66,4,3
KANSAS-Nonmetropolitan Counties,Kingman,6,0,,1,0,5,63,18,42,3,2
KANSAS-Nonmetropolitan Counties,Kiowa,8,0,,0,1,7,25,6,13,6,0
KANSAS-Nonmetropolitan Counties,Labette,9,0,,0,0,9,101,44,52,5,5
KANSAS-Nonmetropolitan Counties,Lane,3,0,,0,0,3,15,3,10,2,0
KANSAS-Nonmetropolitan Counties,Lyon,13,0,,2,1,10,116,28,77,11,3
KANSAS-Nonmetropolitan Counties,Marion,3,0,,0,0,3,32,16,15,1,1
KANSAS-Nonmetropolitan Counties,McPherson,4,0,,1,0,3,81,29,45,7,1
KANSAS-Nonmetropolitan Counties,Morris,8,0,,0,0,8,54,17,34,3,6
KANSAS-Nonmetropolitan Counties,Morton,5,0,,1,0,4,29,3,26,0,0
KANSAS-Nonmetropolitan Counties,Nemaha,11,0,,2,0,9,53,21,24,8,0
KANSAS-Nonmetropolitan Counties,Neosho,18,0,,0,0,18,78,28,43,7,0
KANSAS-Nonmetropolitan Counties,Norton,1,0,,0,0,1,6,3,3,0,0
KANSAS-Nonmetropolitan Counties,Osborne,3,0,,0,0,3,24,7,15,2,0
KANSAS-Nonmetropolitan Counties,Ottawa,5,0,,3,0,2,62,18,40,4,1
KANSAS-Nonmetropolitan Counties,Pawnee,18,1,,2,0,15,32,9,21,2,1
KANSAS-Nonmetropolitan Counties,Phillips,5,0,,1,0,4,6,2,4,0,0
KANSAS-Nonmetropolitan Counties,Pottawatomie,43,0,,7,3,33,264,60,185,19,3
KANSAS-Nonmetropolitan Counties,Pratt,4,0,,0,0,4,49,16,31,2,0
KANSAS-Nonmetropolitan Counties,Rawlins,0,0,,0,0,0,16,5,5,6,0
KANSAS-Nonmetropolitan Counties,Reno,18,0,,1,0,17,191,76,103,12,0
KANSAS-Nonmetropolitan Counties,Republic,1,0,,1,0,0,46,14,28,4,1
KANSAS-Nonmetropolitan Counties,Rice,11,0,,0,0,11,57,17,35,5,0
KANSAS-Nonmetropolitan Counties,Riley County Police Department,221,3,,42,17,159,1661,291,1297,73,19
KANSAS-Nonmetropolitan Counties,Rooks,0,0,,0,0,0,8,4,3,1,0
KANSAS-Nonmetropolitan Counties,Rush,3,0,,0,0,3,43,28,14,1,0
KANSAS-Nonmetropolitan Counties,Russell,4,1,,0,0,3,23,7,16,0,0
KANSAS-Nonmetropolitan Counties,Saline,31,0,,4,1,26,146,47,90,9,9
KANSAS-Nonmetropolitan Counties,Seward,6,0,,2,0,4,69,17,41,11,1
KANSAS-Nonmetropolitan Counties,Sherman,11,0,,1,0,10,20,10,10,0,0
KANSAS-Nonmetropolitan Counties,Stanton,3,0,,0,0,3,23,7,16,0,0
KANSAS-Nonmetropolitan Counties,Thomas,5,0,,0,0,5,41,8,32,1,2
KANSAS-Nonmetropolitan Counties,Trego,1,0,,0,0,1,15,5,10,0,0
KANSAS-Nonmetropolitan Counties,Washington,4,0,,0,0,4,9,2,6,1,0
KANSAS-Nonmetropolitan Counties,Wichita,3,0,,1,1,1,40,11,28,1,0
KANSAS-Nonmetropolitan Counties,Wilson,3,0,,0,0,3,49,22,23,4,3
KANSAS-Nonmetropolitan Counties,Woodson,1,0,,0,0,1,41,15,23,3,2
KENTUCKY-Metropolitan Counties,Boone,300,1,,21,17,261,1132,279,786,67,4
KENTUCKY-Metropolitan Counties,Bourbon,1,0,,0,0,1,14,8,6,0,0
KENTUCKY-Metropolitan Counties,Boyd,30,0,,6,14,10,308,93,174,41,0
KENTUCKY-Metropolitan Counties,Bracken,1,0,,0,0,1,9,8,1,0,0
KENTUCKY-Metropolitan Counties,Bullitt,30,1,,11,3,15,585,222,315,48,0
KENTUCKY-Metropolitan Counties,Campbell County Police Department,35,0,,13,3,19,268,52,201,15,2
KENTUCKY-Metropolitan Counties,Christian,17,1,,1,5,10,353,139,181,33,0
KENTUCKY-Metropolitan Counties,Clark,6,0,,1,3,2,245,98,135,12,3
KENTUCKY-Metropolitan Counties,Daviess,27,3,,6,1,17,497,112,370,15,6
KENTUCKY-Metropolitan Counties,Edmonson,1,0,,0,1,0,44,18,23,3,0
KENTUCKY-Metropolitan Counties,Gallatin,3,0,,0,0,3,29,7,16,6,0
KENTUCKY-Metropolitan Counties,Grant,4,0,,1,0,3,70,33,29,8,0
KENTUCKY-Metropolitan Counties,Greenup,5,1,,0,1,3,70,28,39,3,0
KENTUCKY-Metropolitan Counties,Hancock,0,0,,0,0,0,12,6,4,2,0
KENTUCKY-Metropolitan Counties,Hardin,7,1,,1,0,5,95,33,57,5,0
KENTUCKY-Metropolitan Counties,Jefferson,1,0,,0,1,0,13,1,11,1,0
KENTUCKY-Metropolitan Counties,Jessamine,19,0,,5,5,9,290,95,164,31,0
KENTUCKY-Metropolitan Counties,Kenton,1,0,,0,0,1,6,1,5,0,0
KENTUCKY-Metropolitan Counties,Larue,3,0,,0,1,2,53,21,27,5,1
KENTUCKY-Metropolitan Counties,McLean,0,0,,0,0,0,22,9,10,3,0
KENTUCKY-Metropolitan Counties,Meade,14,1,,2,1,10,159,67,85,7,0
KENTUCKY-Metropolitan Counties,Nelson,23,3,,5,2,13,245,78,143,24,2
KENTUCKY-Metropolitan Counties,Oldham,1,0,,0,0,1,13,2,10,1,0
KENTUCKY-Metropolitan Counties,Oldham County Police Department,12,1,,4,4,3,422,122,279,21,0
KENTUCKY-Metropolitan Counties,Pendleton,4,0,,0,0,4,96,23,62,11,0
KENTUCKY-Metropolitan Counties,Scott,25,2,,2,7,14,229,69,143,17,0
KENTUCKY-Metropolitan Counties,Shelby,39,0,,4,20,15,504,131,343,30,0
KENTUCKY-Metropolitan Counties,Spencer,3,1,,0,1,1,40,22,16,2,0
KENTUCKY-Metropolitan Counties,Trigg,1,0,,0,0,1,60,25,28,7,0
KENTUCKY-Metropolitan Counties,Trimble,1,0,,0,1,0,6,1,5,0,0
KENTUCKY-Metropolitan Counties,Warren,22,0,,2,2,18,538,152,360,26,0
KENTUCKY-Nonmetropolitan Counties,Allen,2,0,,0,0,2,33,9,20,4,0
KENTUCKY-Nonmetropolitan Counties,Anderson,3,0,,1,1,1,97,28,65,4,0
KENTUCKY-Nonmetropolitan Counties,Ballard,8,0,,3,0,5,50,21,28,1,1
KENTUCKY-Nonmetropolitan Counties,Barren,9,0,,1,0,8,148,59,79,10,2
KENTUCKY-Nonmetropolitan Counties,Bell,3,0,,0,2,1,96,35,59,2,0
KENTUCKY-Nonmetropolitan Counties,Boyle,9,0,,1,1,7,59,23,32,4,0
KENTUCKY-Nonmetropolitan Counties,Breckinridge,1,0,,0,1,0,22,8,9,5,0
KENTUCKY-Nonmetropolitan Counties,Butler,0,0,,0,0,0,38,17,17,4,1
KENTUCKY-Nonmetropolitan Counties,Caldwell,2,0,,0,0,2,62,29,20,13,0
KENTUCKY-Nonmetropolitan Counties,Calloway,14,0,,2,2,10,396,133,232,31,0
KENTUCKY-Nonmetropolitan Counties,Carter,2,0,,0,0,2,178,78,88,12,0
KENTUCKY-Nonmetropolitan Counties,Clay,1,0,,0,0,1,131,35,75,21,0
KENTUCKY-Nonmetropolitan Counties,Crittenden,1,0,,0,1,0,43,11,32,0,0
KENTUCKY-Nonmetropolitan Counties,Cumberland,0,0,,0,0,0,9,5,2,2,0
KENTUCKY-Nonmetropolitan Counties,Estill,0,0,,0,0,0,22,7,8,7,0
KENTUCKY-Nonmetropolitan Counties,Fleming,0,0,,0,0,0,70,32,30,8,0
KENTUCKY-Nonmetropolitan Counties,Floyd,4,0,,0,1,3,152,32,102,18,0
KENTUCKY-Nonmetropolitan Counties,Franklin,13,0,,3,2,8,162,52,96,14,0
KENTUCKY-Nonmetropolitan Counties,Fulton,4,0,,0,0,4,60,16,42,2,0
KENTUCKY-Nonmetropolitan Counties,Garrard,4,0,,0,0,4,85,16,64,5,0
KENTUCKY-Nonmetropolitan Counties,Graves,7,0,,2,0,5,167,72,79,16,0
KENTUCKY-Nonmetropolitan Counties,Grayson,6,0,,2,0,4,145,77,57,11,0
KENTUCKY-Nonmetropolitan Counties,Harlan,17,0,,0,2,15,92,28,64,0,0
KENTUCKY-Nonmetropolitan Counties,Harrison,3,0,,0,2,1,179,98,67,14,0
KENTUCKY-Nonmetropolitan Counties,Hart,0,0,,0,0,0,31,23,7,1,0
KENTUCKY-Nonmetropolitan Counties,Hopkins,14,0,,1,1,12,198,74,104,20,0
KENTUCKY-Nonmetropolitan Counties,Jackson,1,0,,0,1,0,32,15,17,0,0
KENTUCKY-Nonmetropolitan Counties,Johnson,2,0,,0,0,2,49,4,36,9,0
KENTUCKY-Nonmetropolitan Counties,Knott,2,0,,0,0,2,67,7,55,5,0
KENTUCKY-Nonmetropolitan Counties,Knox,8,0,,1,0,7,291,112,139,40,0
KENTUCKY-Nonmetropolitan Counties,Laurel,20,4,,1,5,10,822,271,457,94,0
KENTUCKY-Nonmetropolitan Counties,Lawrence,1,0,,0,1,0,26,8,17,1,0
KENTUCKY-Nonmetropolitan Counties,Lee,0,0,,0,0,0,2,0,1,1,0
KENTUCKY-Nonmetropolitan Counties,Letcher,1,0,,0,0,1,67,35,29,3,0
KENTUCKY-Nonmetropolitan Counties,Lewis,4,0,,0,0,4,80,52,23,5,1
KENTUCKY-Nonmetropolitan Counties,Lincoln,3,0,,0,0,3,73,34,34,5,0
KENTUCKY-Nonmetropolitan Counties,Livingston,6,0,,0,1,5,106,35,64,7,0
KENTUCKY-Nonmetropolitan Counties,Logan,16,0,,2,1,13,155,61,82,12,0
KENTUCKY-Nonmetropolitan Counties,Lyon,4,0,,0,1,3,44,20,22,2,0
KENTUCKY-Nonmetropolitan Counties,Madison,9,0,,4,0,5,284,106,160,18,0
KENTUCKY-Nonmetropolitan Counties,Marion,0,0,,0,0,0,105,47,52,6,0
KENTUCKY-Nonmetropolitan Counties,Martin,1,0,,0,0,1,87,42,29,16,0
KENTUCKY-Nonmetropolitan Counties,Mason,11,0,,2,1,8,149,77,57,15,0
KENTUCKY-Nonmetropolitan Counties,McCreary,3,0,,0,1,2,101,33,56,12,1
KENTUCKY-Nonmetropolitan Counties,Mercer,2,0,,0,0,2,70,28,39,3,0
KENTUCKY-Nonmetropolitan Counties,Metcalfe,3,0,,0,0,3,52,17,26,9,0
KENTUCKY-Nonmetropolitan Counties,Monroe,0,0,,0,0,0,4,0,3,1,0
KENTUCKY-Nonmetropolitan Counties,Montgomery,14,1,,0,5,8,460,133,294,33,0
KENTUCKY-Nonmetropolitan Counties,Muhlenberg,4,0,,0,1,3,17,7,8,2,0
KENTUCKY-Nonmetropolitan Counties,Ohio,14,0,,3,3,8,135,61,62,12,1
KENTUCKY-Nonmetropolitan Counties,Owen,1,0,,0,0,1,74,36,26,12,0
KENTUCKY-Nonmetropolitan Counties,Owsley,0,0,,0,0,0,25,8,15,2,0
KENTUCKY-Nonmetropolitan Counties,Pike,4,0,,3,1,0,28,5,22,1,0
KENTUCKY-Nonmetropolitan Counties,Powell,0,0,,0,0,0,15,7,6,2,0
KENTUCKY-Nonmetropolitan Counties,Pulaski,19,2,,3,3,11,649,213,393,43,7
KENTUCKY-Nonmetropolitan Counties,Rockcastle,3,0,,0,1,2,37,13,18,6,0
KENTUCKY-Nonmetropolitan Counties,Russell,1,0,,0,0,1,35,10,18,7,0
KENTUCKY-Nonmetropolitan Counties,Simpson,7,0,,0,2,5,123,46,63,14,0
KENTUCKY-Nonmetropolitan Counties,Taylor,12,0,,1,2,9,197,89,101,7,2
KENTUCKY-Nonmetropolitan Counties,Todd,2,0,,0,0,2,32,14,15,3,0
KENTUCKY-Nonmetropolitan Counties,Union,12,0,,0,2,10,52,14,34,4,0
KENTUCKY-Nonmetropolitan Counties,Washington,2,0,,0,0,2,47,27,16,4,0
KENTUCKY-Nonmetropolitan Counties,Wayne,8,0,,3,1,4,79,44,29,6,0
KENTUCKY-Nonmetropolitan Counties,Whitley,2,0,,0,1,1,113,37,58,18,1
KENTUCKY-Nonmetropolitan Counties,Wolfe,0,0,,0,0,0,20,3,15,2,0
LOUISIANA-Metropolitan Counties,Ascension,407,6,,28,37,336,2890,605,2018,267,7
LOUISIANA-Metropolitan Counties,Bossier,254,1,,4,3,246,538,57,439,42,2
LOUISIANA-Metropolitan Counties,Caddo,202,3,,22,14,163,993,210,668,115,5
LOUISIANA-Metropolitan Counties,Calcasieu,280,2,,88,87,103,3640,899,2480,261,10
LOUISIANA-Metropolitan Counties,Cameron,71,1,,3,0,67,187,29,145,13,1
LOUISIANA-Metropolitan Counties,East Baton Rouge,925,20,,29,189,687,8927,1995,6425,507,50
LOUISIANA-Metropolitan Counties,Iberville,141,6,,5,5,125,460,90,350,20,2
LOUISIANA-Metropolitan Counties,Jefferson,2616,44,,74,634,1864,15090,3632,9596,1862,177
LOUISIANA-Metropolitan Counties,Lafayette,428,4,,14,41,369,1553,459,898,196,22
LOUISIANA-Metropolitan Counties,Lafourche,142,0,,7,7,128,1836,129,1631,76,0
LOUISIANA-Metropolitan Counties,Livingston,490,8,,14,26,442,1551,593,800,158,0
LOUISIANA-Metropolitan Counties,Plaquemines,56,2,,2,4,48,600,136,409,55,4
LOUISIANA-Metropolitan Counties,Pointe Coupee,74,4,,0,4,66,377,105,252,20,2
LOUISIANA-Metropolitan Counties,Rapides,189,1,,18,9,161,1042,297,596,149,1
LOUISIANA-Metropolitan Counties,St. Bernard,110,1,,4,15,90,1706,496,1018,192,1
LOUISIANA-Metropolitan Counties,St. Charles,170,2,,11,43,114,1338,460,774,104,20
LOUISIANA-Metropolitan Counties,St. John the Baptist,194,7,,9,93,85,1731,434,1109,188,1
LOUISIANA-Metropolitan Counties,St. Martin,80,2,,15,12,51,488,114,369,5,
LOUISIANA-Metropolitan Counties,St. Tammany,411,10,,31,29,341,2861,790,1762,309,24
LOUISIANA-Metropolitan Counties,Terrebonne,387,7,,32,41,307,3054,543,2274,237,13
LOUISIANA-Metropolitan Counties,West Baton Rouge,93,2,,5,18,68,491,53,398,40,0
LOUISIANA-Metropolitan Counties,West Feliciana,72,2,,2,4,64,140,23,106,11,2
LOUISIANA-Nonmetropolitan Counties,Acadia,16,0,,1,1,14,406,81,278,47,0
LOUISIANA-Nonmetropolitan Counties,Assumption,121,0,,5,4,112,400,77,290,33,0
LOUISIANA-Nonmetropolitan Counties,Avoyelles,16,0,,1,0,15,211,172,15,24,0
LOUISIANA-Nonmetropolitan Counties,Beauregard,36,3,,8,1,24,429,161,232,36,3
LOUISIANA-Nonmetropolitan Counties,East Carroll,20,0,,1,6,13,32,10,22,0,0
LOUISIANA-Nonmetropolitan Counties,Evangeline,66,1,,9,4,52,440,127,269,44,
LOUISIANA-Nonmetropolitan Counties,Franklin,15,0,,0,0,15,203,65,125,13,3
LOUISIANA-Nonmetropolitan Counties,Jefferson Davis,54,2,,6,5,41,417,64,316,37,2
LOUISIANA-Nonmetropolitan Counties,Lincoln,39,5,,3,5,26,247,84,149,14,0
LOUISIANA-Nonmetropolitan Counties,Madison,61,2,,3,4,52,180,79,89,12,1
LOUISIANA-Nonmetropolitan Counties,Morehouse,32,1,,1,2,28,438,93,334,11,1
LOUISIANA-Nonmetropolitan Counties,Natchitoches,99,0,,5,5,89,456,163,244,49,0
LOUISIANA-Nonmetropolitan Counties,St. James,203,3,,6,15,179,697,199,451,47,2
LOUISIANA-Nonmetropolitan Counties,St. Landry,164,1,,8,18,137,1127,325,697,105,6
LOUISIANA-Nonmetropolitan Counties,St. Mary,193,2,,7,52,132,1027,226,756,45,0
LOUISIANA-Nonmetropolitan Counties,Tangipahoa,884,11,,41,59,773,3684,1515,2027,142,3
LOUISIANA-Nonmetropolitan Counties,Vermilion,401,1,,7,0,393,218,33,184,1,
LOUISIANA-Nonmetropolitan Counties,Vernon,233,1,,6,5,221,638,136,472,30,8
LOUISIANA-Nonmetropolitan Counties,Washington,185,3,,24,12,146,774,151,534,89,0
LOUISIANA-Nonmetropolitan Counties,West Carroll,29,0,,0,0,29,279,83,179,17,1
MAINE-Metropolitan Counties,Androscoggin,7,0,,3,0,4,226,59,156,11,2
MAINE-Metropolitan Counties,Cumberland,36,0,,6,8,22,562,273,251,38,1
MAINE-Metropolitan Counties,Penobscot,5,0,,1,0,4,750,200,517,33,0
MAINE-Metropolitan Counties,Sagadahoc,5,0,,0,0,5,179,59,109,11,1
MAINE-Metropolitan Counties,York,31,0,,9,1,21,469,203,224,42,4
MAINE-Nonmetropolitan Counties,Aroostook,8,0,,0,1,7,81,23,56,2,0
MAINE-Nonmetropolitan Counties,Franklin,2,0,,1,0,1,92,28,62,2,3
MAINE-Nonmetropolitan Counties,Hancock,4,0,,1,1,2,196,49,136,11,0
MAINE-Nonmetropolitan Counties,Kennebec,16,0,,10,1,5,286,84,190,12,1
MAINE-Nonmetropolitan Counties,Knox,7,0,,1,0,6,175,56,110,9,1
MAINE-Nonmetropolitan Counties,Lincoln,16,0,,8,3,5,232,68,157,7,0
MAINE-Nonmetropolitan Counties,Oxford,21,0,,15,0,6,298,122,155,21,1
MAINE-Nonmetropolitan Counties,Piscataquis,1,0,,0,0,1,118,44,73,1,1
MAINE-Nonmetropolitan Counties,Somerset,15,0,,5,0,10,326,104,198,24,0
MAINE-Nonmetropolitan Counties,Waldo,11,0,,7,0,4,115,57,39,19,1
MAINE-Nonmetropolitan Counties,Washington,7,0,,0,0,7,150,62,77,11,0
MARYLAND-Metropolitan Counties,Allegany,7,0,,2,0,5,115,16,93,6,0
MARYLAND-Metropolitan Counties,Anne Arundel,0,0,,0,0,0,0,0,0,0,0
MARYLAND-Metropolitan Counties,Anne Arundel County Police Department,2605,12,,85,722,1786,16489,3000,12053,1436,108
MARYLAND-Metropolitan Counties,Baltimore County,0,0,,0,0,0,0,0,0,0,0
MARYLAND-Metropolitan Counties,Baltimore County Police Department,5331,36,,151,1786,3358,26499,4868,18299,3332,349
MARYLAND-Metropolitan Counties,Calvert,191,2,,0,16,173,1279,240,947,92,1
MARYLAND-Metropolitan Counties,Carroll,70,0,,29,5,36,315,77,231,7,0
MARYLAND-Metropolitan Counties,Cecil,127,1,,7,20,99,1118,414,617,87,2
MARYLAND-Metropolitan Counties,Charles,787,4,,33,184,566,4003,706,2875,422,2
MARYLAND-Metropolitan Counties,Frederick,286,2,,13,18,253,1446,251,1109,86,5
MARYLAND-Metropolitan Counties,Harford,455,7,,35,106,307,2875,712,1861,302,18
MARYLAND-Metropolitan Counties,Howard,0,0,,0,0,0,0,0,0,0,0
MARYLAND-Metropolitan Counties,Howard County Police Department,577,5,,36,244,292,7191,1242,5421,528,75
MARYLAND-Metropolitan Counties,Montgomery,0,0,,0,0,0,0,0,0,0,0
MARYLAND-Metropolitan Counties,Montgomery County Police Department,2059,19,,129,1096,815,23567,3550,17534,2483,275
MARYLAND-Metropolitan Counties,Prince George's,128,0,,0,7,121,4,1,3,0,0
MARYLAND-Metropolitan Counties,Prince George's County Police Department,6134,123,,226,3092,2693,35628,5940,19745,9943,356
MARYLAND-Metropolitan Counties,Queen Anne's,84,0,,6,11,67,661,149,482,30,3
MARYLAND-Metropolitan Counties,Somerset,1,0,,1,0,0,33,8,24,1,0
MARYLAND-Metropolitan Counties,Washington,217,4,,24,27,162,1276,326,861,89,0
MARYLAND-Metropolitan Counties,Wicomico,122,2,,10,22,88,867,288,533,46,3
MARYLAND-Nonmetropolitan Counties,Caroline,37,0,,3,9,25,318,109,198,11,0
MARYLAND-Nonmetropolitan Counties,Dorchester,24,2,,1,2,19,322,76,221,25,0
MARYLAND-Nonmetropolitan Counties,Garrett,28,0,,1,1,26,268,81,177,10,0
MARYLAND-Nonmetropolitan Counties,Kent,19,0,,0,2,17,116,68,42,6,1
MARYLAND-Nonmetropolitan Counties,St. Mary's,270,1,,13,39,217,2018,542,1368,108,6
MARYLAND-Nonmetropolitan Counties,Talbot,11,0,,1,4,6,168,37,118,13,0
MARYLAND-Nonmetropolitan Counties,Worcester,69,0,,2,2,65,153,53,82,18,1
MICHIGAN-Metropolitan Counties,Barry,42,2,,12,4,24,370,95,261,14,2
MICHIGAN-Metropolitan Counties,Bay,41,1,,10,9,21,533,116,374,43,0
MICHIGAN-Metropolitan Counties,Berrien,134,0,,22,14,98,848,188,590,70,7
MICHIGAN-Metropolitan Counties,Calhoun,82,0,,4,5,73,414,131,248,35,2
MICHIGAN-Metropolitan Counties,Cass,34,2,,9,5,18,742,280,413,49,7
MICHIGAN-Metropolitan Counties,Clinton,12,1,,1,1,9,220,78,125,17,3
MICHIGAN-Metropolitan Counties,Eaton,138,0,,24,30,84,1341,294,954,93,3
MICHIGAN-Metropolitan Counties,Genesee,56,0,,13,6,37,667,161,459,47,3
MICHIGAN-Metropolitan Counties,Ingham,126,3,,44,11,68,1039,319,650,70,10
MICHIGAN-Metropolitan Counties,Ionia,28,0,,11,1,16,447,165,252,30,10
MICHIGAN-Metropolitan Counties,Jackson,117,0,,18,2,97,643,162,440,41,7
MICHIGAN-Metropolitan Counties,Kent,345,0,,47,52,246,4182,1038,2954,190,28
MICHIGAN-Metropolitan Counties,Lapeer,51,0,,9,1,41,508,139,341,28,1
MICHIGAN-Metropolitan Counties,Livingston,50,0,,6,9,35,1010,278,683,49,10
MICHIGAN-Metropolitan Counties,Macomb,390,8,,39,57,286,2829,551,2029,249,12
MICHIGAN-Metropolitan Counties,Monroe,171,0,,18,33,120,2079,511,1399,169,35
MICHIGAN-Metropolitan Counties,Newaygo,69,1,,20,1,47,491,154,308,29,6
MICHIGAN-Metropolitan Counties,Oakland,417,1,,66,53,297,4055,826,3038,191,40
MICHIGAN-Metropolitan Counties,Ottawa,308,1,,113,22,172,3113,785,2261,67,22
MICHIGAN-Metropolitan Counties,Saginaw,127,2,,12,12,101,780,247,484,49,4
MICHIGAN-Metropolitan Counties,St. Clair,190,0,,39,14,137,1772,433,1198,141,21
MICHIGAN-Metropolitan Counties,Van Buren,82,1,,25,3,53,663,188,420,55,4
MICHIGAN-Metropolitan Counties,Washtenaw,328,5,,65,91,167,2230,732,1197,301,18
MICHIGAN-Metropolitan Counties,Wayne6,102,3,,0,42,57,220,60,81,79,0
MICHIGAN-Nonmetropolitan Counties,Alcona,14,1,,0,0,13,187,65,117,5,0
MICHIGAN-Nonmetropolitan Counties,Allegan,80,4,,16,7,53,1173,294,809,70,5
MICHIGAN-Nonmetropolitan Counties,Alpena,0,0,,0,0,0,38,7,29,2,0
MICHIGAN-Nonmetropolitan Counties,Arenac,28,0,,3,0,25,224,99,112,13,4
MICHIGAN-Nonmetropolitan Counties,Baraga,2,0,,0,0,2,20,5,15,0,0
MICHIGAN-Nonmetropolitan Counties,Benzie,16,0,,6,0,10,159,45,106,8,0
MICHIGAN-Nonmetropolitan Counties,Branch,26,0,,5,0,21,225,61,148,16,3
MICHIGAN-Nonmetropolitan Counties,Charlevoix,20,0,,8,0,12,182,34,140,8,1
MICHIGAN-Nonmetropolitan Counties,Cheboygan,7,0,,4,0,3,111,35,67,9,1
MICHIGAN-Nonmetropolitan Counties,Chippewa,13,1,,1,1,10,121,45,71,5,0
MICHIGAN-Nonmetropolitan Counties,Crawford,25,0,,4,0,21,247,92,136,19,1
MICHIGAN-Nonmetropolitan Counties,Delta,2,0,,0,1,1,65,32,32,1,1
MICHIGAN-Nonmetropolitan Counties,Dickinson,8,0,,6,0,2,94,21,70,3,2
MICHIGAN-Nonmetropolitan Counties,Emmet,21,0,,9,0,12,196,39,144,13,0
MICHIGAN-Nonmetropolitan Counties,Gladwin,23,0,,4,1,18,140,49,83,8,0
MICHIGAN-Nonmetropolitan Counties,Grand Traverse,119,1,,29,5,84,1026,199,787,40,9
MICHIGAN-Nonmetropolitan Counties,Gratiot,16,0,,11,2,3,194,103,83,8,2
MICHIGAN-Nonmetropolitan Counties,Hillsdale,43,0,,23,0,20,207,74,121,12,2
MICHIGAN-Nonmetropolitan Counties,Houghton,11,0,,0,0,11,101,22,75,4,0
MICHIGAN-Nonmetropolitan Counties,Huron,12,0,,4,0,8,183,62,113,8,2
MICHIGAN-Nonmetropolitan Counties,Iosco,3,0,,1,0,2,17,8,8,1,0
MICHIGAN-Nonmetropolitan Counties,Iron,6,0,,2,1,3,42,14,26,2,1
