State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
VIRGINIA Nonmetropolitan Counties,Charlotte,26,1,,1,2,22,150,39,91,20,
VIRGINIA Nonmetropolitan Counties,Culpeper,25,0,,1,2,22,202,33,157,12,
VIRGINIA Nonmetropolitan Counties,Dickenson,21,0,,2,0,19,264,67,182,15,
VIRGINIA Nonmetropolitan Counties,Essex,11,0,,2,2,7,85,13,59,13,
VIRGINIA Nonmetropolitan Counties,Floyd,15,0,,1,0,14,152,28,103,21,
VIRGINIA Nonmetropolitan Counties,Grayson,22,0,,3,1,18,183,90,75,18,
VIRGINIA Nonmetropolitan Counties,Greensville,36,3,,8,4,21,261,69,174,18,
VIRGINIA Nonmetropolitan Counties,Halifax,18,1,,1,4,12,257,66,162,29,
VIRGINIA Nonmetropolitan Counties,Henry,157,8,,12,32,105,1193,308,811,74,
VIRGINIA Nonmetropolitan Counties,King George,21,0,,5,1,15,447,109,313,25,
VIRGINIA Nonmetropolitan Counties,Lancaster,15,2,,2,1,10,93,20,72,1,
VIRGINIA Nonmetropolitan Counties,Lee,34,0,,2,4,28,446,170,270,6,
VIRGINIA Nonmetropolitan Counties,Lunenburg,1,0,,1,0,0,83,27,49,7,
VIRGINIA Nonmetropolitan Counties,Madison,7,0,,1,0,6,184,26,147,11,
VIRGINIA Nonmetropolitan Counties,Mecklenburg,48,0,,11,11,26,402,87,266,49,
VIRGINIA Nonmetropolitan Counties,Middlesex,16,1,,4,1,10,121,39,72,10,
VIRGINIA Nonmetropolitan Counties,Northampton,14,1,,0,8,5,216,75,137,4,
VIRGINIA Nonmetropolitan Counties,Northumberland,12,0,,5,1,6,124,40,79,5,
VIRGINIA Nonmetropolitan Counties,Nottoway,16,0,,1,3,12,95,17,66,12,
VIRGINIA Nonmetropolitan Counties,Orange,25,2,,6,2,15,233,50,170,13,
VIRGINIA Nonmetropolitan Counties,Page,25,1,,5,1,18,295,106,173,16,
VIRGINIA Nonmetropolitan Counties,Patrick,36,0,,7,2,27,378,71,261,46,
VIRGINIA Nonmetropolitan Counties,Prince Edward,9,0,,1,1,7,24,10,14,0,
VIRGINIA Nonmetropolitan Counties,Rappahannock,7,1,,1,2,3,51,24,24,3,
VIRGINIA Nonmetropolitan Counties,Richmond,8,0,,2,1,5,100,4,80,16,
VIRGINIA Nonmetropolitan Counties,Rockbridge,15,0,,6,2,7,279,55,210,14,
VIRGINIA Nonmetropolitan Counties,Russell,29,2,,5,2,20,294,89,168,37,
VIRGINIA Nonmetropolitan Counties,Shenandoah,27,0,,0,3,24,247,54,179,14,
VIRGINIA Nonmetropolitan Counties,Smyth,43,1,,9,0,33,374,108,235,31,
VIRGINIA Nonmetropolitan Counties,Southampton,34,1,,4,5,24,258,71,167,20,
VIRGINIA Nonmetropolitan Counties,Tazewell,27,0,,4,3,20,571,165,368,38,
VIRGINIA Nonmetropolitan Counties,Westmoreland,27,2,,0,5,20,179,27,142,10,
VIRGINIA Nonmetropolitan Counties,Wise,50,1,,13,2,34,467,155,276,36,
VIRGINIA Nonmetropolitan Counties,Wythe,23,1,,2,2,18,220,37,155,28,
WASHINGTON Metropolitan Counties,Asotin,14,0,,0,0,14,171,39,118,14,
WASHINGTON Metropolitan Counties,Benton,61,1,,6,4,50,735,184,495,56,
WASHINGTON Metropolitan Counties,Chelan,32,1,,6,5,20,1014,142,816,56,
WASHINGTON Metropolitan Counties,Clark,253,1,,94,45,113,4536,1080,2873,583,
WASHINGTON Metropolitan Counties,Cowlitz,48,2,,18,4,24,836,308,423,105,
WASHINGTON Metropolitan Counties,Douglas,50,1,,6,3,40,628,152,439,37,
WASHINGTON Metropolitan Counties,Franklin,17,0,,2,1,14,217,64,138,15,
WASHINGTON Metropolitan Counties,King,657,15,,101,185,356,8769,2594,4483,1692,
WASHINGTON Metropolitan Counties,Kitsap,541,2,,124,41,374,3623,1084,2206,333,
WASHINGTON Metropolitan Counties,Pierce,1197,5,,102,228,862,10870,2997,6019,1854,
WASHINGTON Metropolitan Counties,Skagit,85,2,,27,5,51,1873,529,1188,156,
WASHINGTON Metropolitan Counties,Skamania,8,0,,4,0,4,319,75,216,28,
WASHINGTON Metropolitan Counties,Spokane,255,6,,12,14,223,2350,645,1439,266,
WASHINGTON Metropolitan Counties,Thurston,289,3,,26,33,227,3008,921,1839,248,
WASHINGTON Metropolitan Counties,Whatcom,125,0,,36,6,83,1728,632,934,162,
WASHINGTON Metropolitan Counties,Yakima,113,3,,26,28,56,3190,1095,1527,568,
WASHINGTON Nonmetropolitan Counties,Adams,16,0,,3,1,12,277,84,171,22,
WASHINGTON Nonmetropolitan Counties,Clallam,69,1,,22,4,42,843,239,543,61,
WASHINGTON Nonmetropolitan Counties,Columbia,1,0,,0,0,1,162,31,122,9,
WASHINGTON Nonmetropolitan Counties,Ferry,5,0,,2,0,3,32,9,20,3,
WASHINGTON Nonmetropolitan Counties,Garfield,8,0,,2,0,6,70,13,48,9,
WASHINGTON Nonmetropolitan Counties,Grant,71,0,,7,20,44,1868,555,1107,206,
WASHINGTON Nonmetropolitan Counties,Grays Harbor,40,2,,2,8,28,558,202,304,52,
WASHINGTON Nonmetropolitan Counties,Island,29,0,,10,2,17,1295,414,782,99,
WASHINGTON Nonmetropolitan Counties,Jefferson,49,0,,5,8,36,537,204,311,22,
WASHINGTON Nonmetropolitan Counties,Kittitas,18,0,,4,2,12,665,159,477,29,
WASHINGTON Nonmetropolitan Counties,Klickitat,11,0,,0,2,9,125,84,13,28,
WASHINGTON Nonmetropolitan Counties,Lewis,41,0,,6,2,33,885,292,502,91,
WASHINGTON Nonmetropolitan Counties,Lincoln,6,0,,2,0,4,204,37,157,10,
WASHINGTON Nonmetropolitan Counties,Mason,103,1,,23,15,64,1857,620,1012,225,
WASHINGTON Nonmetropolitan Counties,Okanogan,59,1,,18,5,35,608,162,399,47,
WASHINGTON Nonmetropolitan Counties,Pacific,22,0,,6,1,15,603,228,337,38,
WASHINGTON Nonmetropolitan Counties,Pend Oreille,7,1,,2,0,4,493,145,319,29,
WASHINGTON Nonmetropolitan Counties,San Juan,9,0,,3,2,4,248,64,161,23,
WASHINGTON Nonmetropolitan Counties,Stevens,35,1,,12,3,19,741,346,293,102,
WASHINGTON Nonmetropolitan Counties,Wahkiakum,8,0,,1,0,7,38,16,17,5,
WASHINGTON Nonmetropolitan Counties,Walla Walla,28,0,,7,1,20,403,114,261,28,
WASHINGTON Nonmetropolitan Counties,Whitman,13,0,,5,0,8,64,14,44,6,
WEST VIRGINIA Metropolitan Counties,Berkeley,58,1,,0,17,40,931,216,634,81,
WEST VIRGINIA Metropolitan Counties,Boone,29,0,,2,0,27,112,38,62,12,
WEST VIRGINIA Metropolitan Counties,Brooke,30,0,,2,1,27,89,36,44,9,
WEST VIRGINIA Metropolitan Counties,Cabell,46,0,,10,21,15,844,248,517,79,
WEST VIRGINIA Metropolitan Counties,Hampshire,12,0,,0,0,12,82,39,34,9,
WEST VIRGINIA Metropolitan Counties,Jefferson,45,0,,2,2,41,415,103,270,42,
WEST VIRGINIA Metropolitan Counties,Kanawha,184,11,,16,36,121,1495,521,776,198,
WEST VIRGINIA Metropolitan Counties,Marshall,6,0,,1,0,5,170,50,109,11,
WEST VIRGINIA Metropolitan Counties,Mineral,19,0,,0,0,19,55,15,38,2,
WEST VIRGINIA Metropolitan Counties,Monongalia,58,1,,5,8,44,463,139,290,34,
WEST VIRGINIA Metropolitan Counties,Morgan,7,0,,0,0,7,70,19,42,9,
WEST VIRGINIA Metropolitan Counties,Ohio,15,0,,0,2,13,37,5,28,4,
WEST VIRGINIA Metropolitan Counties,Preston,18,1,,1,0,16,66,26,27,13,
WEST VIRGINIA Metropolitan Counties,Putnam,89,2,,16,13,58,936,195,623,118,
WEST VIRGINIA Metropolitan Counties,Wayne,3,0,,0,0,3,115,67,43,5,
WEST VIRGINIA Metropolitan Counties,Wirt,5,0,,1,1,3,17,5,11,1,
WEST VIRGINIA Nonmetropolitan Counties,Braxton,25,0,,0,0,25,53,14,34,5,
WEST VIRGINIA Nonmetropolitan Counties,Fayette,54,0,,13,7,34,414,153,218,43,
WEST VIRGINIA Nonmetropolitan Counties,Gilmer,0,0,,0,0,0,12,3,7,2,
WEST VIRGINIA Nonmetropolitan Counties,Grant,8,0,,0,0,8,50,33,16,1,
WEST VIRGINIA Nonmetropolitan Counties,Greenbrier,9,0,,0,0,9,90,35,46,9,
WEST VIRGINIA Nonmetropolitan Counties,Hardy,4,0,,0,0,4,20,9,9,2,
WEST VIRGINIA Nonmetropolitan Counties,Harrison,74,5,,2,10,57,397,140,229,28,
WEST VIRGINIA Nonmetropolitan Counties,Jackson,14,0,,1,1,12,78,18,43,17,
WEST VIRGINIA Nonmetropolitan Counties,Lewis,9,0,,0,0,9,34,6,26,2,
WEST VIRGINIA Nonmetropolitan Counties,Logan,14,3,,1,0,10,40,11,28,1,
WEST VIRGINIA Nonmetropolitan Counties,Marion,18,0,,2,1,15,250,58,176,16,
WEST VIRGINIA Nonmetropolitan Counties,Mason,10,0,,0,0,10,128,16,79,33,
WEST VIRGINIA Nonmetropolitan Counties,McDowell,9,0,,0,1,8,100,39,46,15,
WEST VIRGINIA Nonmetropolitan Counties,Mercer,102,3,,5,10,84,569,218,297,54,
WEST VIRGINIA Nonmetropolitan Counties,Monroe,3,0,,0,0,3,42,18,20,4,
WEST VIRGINIA Nonmetropolitan Counties,Nicholas,31,0,,2,1,28,493,105,337,51,
WEST VIRGINIA Nonmetropolitan Counties,Pocahontas,1,0,,0,0,1,37,16,17,4,
WEST VIRGINIA Nonmetropolitan Counties,Raleigh,63,1,,0,12,50,1140,180,847,113,
WEST VIRGINIA Nonmetropolitan Counties,Randolph,7,0,,0,0,7,43,17,18,8,
WEST VIRGINIA Nonmetropolitan Counties,Ritchie,6,0,,1,0,5,69,36,28,5,
WEST VIRGINIA Nonmetropolitan Counties,Roane,8,0,,1,0,7,112,5,89,18,
WEST VIRGINIA Nonmetropolitan Counties,Summers,14,0,,1,0,13,68,29,33,6,
WEST VIRGINIA Nonmetropolitan Counties,Upshur,15,0,,1,0,14,49,18,25,6,
WEST VIRGINIA Nonmetropolitan Counties,Wyoming,7,0,,0,3,4,197,103,80,14,
WISCONSIN Metropolitan Counties,Brown,43,0,,14,0,29,1451,323,1059,69,
WISCONSIN Metropolitan Counties,Calumet,6,0,,0,1,5,211,36,171,4,
WISCONSIN Metropolitan Counties,Chippewa,2,0,,2,0,0,399,75,290,34,
WISCONSIN Metropolitan Counties,Columbia,23,0,,5,0,18,488,124,326,38,
WISCONSIN Metropolitan Counties,Dane,59,0,,14,10,35,1208,314,820,74,
WISCONSIN Metropolitan Counties,Douglas,9,0,,1,1,7,303,126,153,24,
WISCONSIN Metropolitan Counties,Eau Claire,49,0,,0,3,46,405,129,261,15,
WISCONSIN Metropolitan Counties,Fond du Lac,40,0,,9,1,30,301,84,200,17,
WISCONSIN Metropolitan Counties,Iowa,18,0,,3,2,13,172,37,115,20,
WISCONSIN Metropolitan Counties,Kenosha,37,0,,7,7,23,732,172,518,42,
WISCONSIN Metropolitan Counties,Kewaunee,4,0,,2,0,2,60,16,40,4,
WISCONSIN Metropolitan Counties,La Crosse,24,0,,3,2,19,245,45,184,16,
WISCONSIN Metropolitan Counties,Marathon,65,1,,6,2,56,469,130,310,29,
WISCONSIN Metropolitan Counties,Milwaukee,1,0,,0,1,0,8,0,8,0,
WISCONSIN Metropolitan Counties,Oconto,5,0,,0,3,2,498,141,307,50,
WISCONSIN Metropolitan Counties,Outagamie,29,0,,13,4,12,498,90,375,33,
WISCONSIN Metropolitan Counties,Ozaukee,14,0,,1,2,11,203,42,151,10,
WISCONSIN Metropolitan Counties,Pierce,21,0,,0,1,20,254,94,145,15,
WISCONSIN Metropolitan Counties,Racine,13,0,,0,3,10,631,79,531,21,
WISCONSIN Metropolitan Counties,Rock,44,0,,7,8,29,536,178,338,20,
WISCONSIN Metropolitan Counties,Sheboygan,45,0,,10,1,34,558,106,440,12,
WISCONSIN Metropolitan Counties,St. Croix,50,1,,7,1,41,490,138,321,31,
WISCONSIN Metropolitan Counties,Washington,31,1,,10,2,18,684,192,444,48,
WISCONSIN Metropolitan Counties,Waukesha,22,0,,4,5,13,566,88,452,26,
WISCONSIN Metropolitan Counties,Winnebago,29,0,,1,0,28,314,78,222,14,
WISCONSIN Nonmetropolitan Counties,Adams,8,0,,0,0,8,37,21,14,2,
WISCONSIN Nonmetropolitan Counties,Ashland,31,0,,2,0,29,83,18,57,8,
WISCONSIN Nonmetropolitan Counties,Barron,1,0,,0,1,0,258,102,149,7,
WISCONSIN Nonmetropolitan Counties,Bayfield,26,0,,1,0,25,221,72,136,13,
WISCONSIN Nonmetropolitan Counties,Buffalo,1,0,,0,0,1,90,21,57,12,
WISCONSIN Nonmetropolitan Counties,Burnett,28,0,,4,0,24,243,87,139,17,
WISCONSIN Nonmetropolitan Counties,Clark,19,0,,3,1,15,245,66,155,24,
WISCONSIN Nonmetropolitan Counties,Crawford,2,1,,1,0,0,134,1,128,5,
WISCONSIN Nonmetropolitan Counties,Dodge,37,1,,7,6,23,286,117,154,15,
WISCONSIN Nonmetropolitan Counties,Door,4,0,,0,0,4,203,32,169,2,
WISCONSIN Nonmetropolitan Counties,Dunn,28,0,,2,0,26,309,91,193,25,
WISCONSIN Nonmetropolitan Counties,Florence,4,0,,0,0,4,143,50,90,3,
WISCONSIN Nonmetropolitan Counties,Forest,40,0,,1,1,38,140,36,88,16,
WISCONSIN Nonmetropolitan Counties,Grant,36,0,,2,0,34,160,54,88,18,
WISCONSIN Nonmetropolitan Counties,Green,9,1,,4,1,3,161,33,116,12,
WISCONSIN Nonmetropolitan Counties,Green Lake,5,0,,1,0,4,100,26,69,5,
WISCONSIN Nonmetropolitan Counties,Iron,8,0,,0,0,8,55,16,38,1,
WISCONSIN Nonmetropolitan Counties,Jackson,11,0,,3,2,6,279,85,170,24,
WISCONSIN Nonmetropolitan Counties,Jefferson,49,0,,4,3,42,456,111,325,20,
WISCONSIN Nonmetropolitan Counties,Juneau,19,0,,2,1,16,274,96,164,14,
WISCONSIN Nonmetropolitan Counties,Lafayette,3,1,,1,0,1,118,21,91,6,
WISCONSIN Nonmetropolitan Counties,Langlade,10,0,,1,0,9,261,87,160,14,
WISCONSIN Nonmetropolitan Counties,Lincoln,12,0,,3,1,8,251,139,98,14,
WISCONSIN Nonmetropolitan Counties,Manitowoc,43,0,,7,0,36,257,85,159,13,
WISCONSIN Nonmetropolitan Counties,Marquette,5,0,,3,1,1,147,25,97,25,
WISCONSIN Nonmetropolitan Counties,Menominee,2,0,,1,0,1,50,18,28,4,
WISCONSIN Nonmetropolitan Counties,Monroe,16,0,,0,1,15,205,43,148,14,
WISCONSIN Nonmetropolitan Counties,Oneida,18,0,,10,0,8,273,90,174,9,
WISCONSIN Nonmetropolitan Counties,Pepin,4,0,,1,0,3,31,28,1,2,
WISCONSIN Nonmetropolitan Counties,Polk,20,1,,12,1,6,344,158,162,24,
WISCONSIN Nonmetropolitan Counties,Portage,9,2,,3,1,3,387,138,237,12,
WISCONSIN Nonmetropolitan Counties,Price,11,0,,1,0,10,77,24,52,1,
WISCONSIN Nonmetropolitan Counties,Richland,1,0,,0,0,1,141,43,93,5,
WISCONSIN Nonmetropolitan Counties,Rusk,21,0,,1,0,20,149,43,93,13,
WISCONSIN Nonmetropolitan Counties,Sauk,36,1,,5,6,24,589,98,455,36,
WISCONSIN Nonmetropolitan Counties,Shawano,8,0,,4,0,4,439,123,287,29,
WISCONSIN Nonmetropolitan Counties,Taylor,11,0,,5,0,6,144,47,87,10,
WISCONSIN Nonmetropolitan Counties,Trempealeau,8,1,,3,0,4,111,37,67,7,
WISCONSIN Nonmetropolitan Counties,Vernon,11,0,,0,0,11,146,51,92,3,
WISCONSIN Nonmetropolitan Counties,Vilas,9,0,,0,0,9,187,42,131,14,
WISCONSIN Nonmetropolitan Counties,Walworth,5,0,,2,2,1,357,83,251,23,
WISCONSIN Nonmetropolitan Counties,Washburn,21,0,,4,1,16,206,74,124,8,
WISCONSIN Nonmetropolitan Counties,Waupaca,23,0,,6,1,16,483,129,296,58,
WISCONSIN Nonmetropolitan Counties,Waushara,16,0,,2,1,13,354,93,246,15,
WISCONSIN Nonmetropolitan Counties,Wood,10,0,,4,1,5,288,103,172,13,
WYOMING Metropolitan Counties ,Laramie,50,0,,9,6,35,516,120,363,33,
WYOMING Metropolitan Counties ,Natrona,15,1,,0,3,11,416,137,268,11,
WYOMING Nonmetropolitan Counties,Albany,6,0,,0,0,6,60,12,43,5,
WYOMING Nonmetropolitan Counties,Campbell,46,0,,1,0,45,290,68,194,28,
WYOMING Nonmetropolitan Counties,Carbon,1,0,,0,0,1,41,6,33,2,
WYOMING Nonmetropolitan Counties,Converse,1,0,,0,0,1,43,8,32,3,
WYOMING Nonmetropolitan Counties,Crook,5,0,,0,0,5,45,14,27,4,
WYOMING Nonmetropolitan Counties,Fremont,9,0,,2,0,7,183,49,115,19,
WYOMING Nonmetropolitan Counties,Goshen,37,0,,2,0,35,83,15,61,7,
WYOMING Nonmetropolitan Counties,Hot Springs,0,0,,0,0,0,29,3,26,0,
WYOMING Nonmetropolitan Counties,Johnson,3,0,,0,0,3,30,10,19,1,
WYOMING Nonmetropolitan Counties,Lincoln,9,0,,0,2,7,133,27,102,4,
WYOMING Nonmetropolitan Counties,Niobrara,1,0,,0,0,1,10,2,5,3,
WYOMING Nonmetropolitan Counties,Park,28,0,,3,0,25,71,18,50,3,
WYOMING Nonmetropolitan Counties,Platte,2,0,,0,0,2,25,9,14,2,
WYOMING Nonmetropolitan Counties,Sheridan,12,0,,1,0,11,101,14,78,9,
WYOMING Nonmetropolitan Counties,Sublette,31,1,,2,1,27,234,27,196,11,
WYOMING Nonmetropolitan Counties,Sweetwater,22,1,,2,2,17,238,56,165,17,
WYOMING Nonmetropolitan Counties,Teton,7,0,,1,0,6,125,27,95,3,
WYOMING Nonmetropolitan Counties,Uinta,7,0,,2,0,5,172,7,154,11,
WYOMING Nonmetropolitan Counties,Washakie,8,0,,0,0,8,7,0,4,3,
WYOMING Nonmetropolitan Counties,Weston,1,0,,0,0,1,8,5,3,0,
