State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
ARKANSAS-Metropolitan Counties,Saline,95.0,0.0,10.0,5.0,80.0,1016.0,315.0,645.0,56.0,3.0,
ARKANSAS-Metropolitan Counties,Sebastian,66.0,1.0,6.0,5.0,54.0,413.0,150.0,243.0,20.0,2.0,
ARKANSAS-Metropolitan Counties,Washington,142.0,1.0,24.0,4.0,113.0,657.0,259.0,354.0,44.0,4.0,
ARKANSAS-Nonmetropolitan Counties,Arkansas,7.0,0.0,1.0,0.0,6.0,90.0,32.0,47.0,11.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Ashley,12.0,0.0,2.0,0.0,10.0,149.0,53.0,86.0,10.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Baxter,31.0,1.0,0.0,1.0,29.0,613.0,112.0,464.0,37.0,6.0,
ARKANSAS-Nonmetropolitan Counties,Boone,42.0,2.0,12.0,0.0,28.0,301.0,98.0,171.0,32.0,4.0,
ARKANSAS-Nonmetropolitan Counties,Bradley,4.0,0.0,1.0,0.0,3.0,18.0,10.0,4.0,4.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Calhoun,1.0,0.0,0.0,0.0,1.0,23.0,15.0,5.0,3.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Carroll,27.0,0.0,2.0,0.0,25.0,225.0,53.0,155.0,17.0,6.0,
ARKANSAS-Nonmetropolitan Counties,Chicot,6.0,1.0,1.0,0.0,4.0,80.0,7.0,58.0,15.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Clark,18.0,0.0,2.0,0.0,16.0,171.0,87.0,72.0,12.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Clay,12.0,0.0,2.0,0.0,10.0,90.0,31.0,56.0,3.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Cleburne,50.0,1.0,6.0,1.0,42.0,376.0,175.0,170.0,31.0,2.0,
ARKANSAS-Nonmetropolitan Counties,Columbia,30.0,0.0,2.0,3.0,25.0,199.0,60.0,132.0,7.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Cross,35.0,0.0,1.0,1.0,33.0,214.0,41.0,164.0,9.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Dallas,0.0,0.0,0.0,0.0,0.0,23.0,5.0,18.0,0.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Drew,35.0,1.0,1.0,0.0,33.0,133.0,44.0,75.0,14.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Fulton,11.0,0.0,1.0,0.0,10.0,77.0,38.0,38.0,1.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Greene,15.0,0.0,3.0,0.0,12.0,203.0,90.0,106.0,7.0,4.0,
ARKANSAS-Nonmetropolitan Counties,Hempstead,26.0,0.0,5.0,1.0,20.0,139.0,52.0,74.0,13.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Howard,8.0,0.0,3.0,0.0,5.0,107.0,51.0,56.0,0.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Independence,101.0,2.0,13.0,6.0,80.0,1258.0,431.0,745.0,82.0,13.0,
ARKANSAS-Nonmetropolitan Counties,Izard,12.0,0.0,0.0,2.0,10.0,100.0,52.0,39.0,9.0,4.0,
ARKANSAS-Nonmetropolitan Counties,Jackson,25.0,0.0,7.0,0.0,18.0,164.0,55.0,93.0,16.0,2.0,
ARKANSAS-Nonmetropolitan Counties,Johnson,0.0,0.0,0.0,0.0,0.0,120.0,27.0,89.0,4.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Lafayette,5.0,0.0,0.0,1.0,4.0,60.0,55.0,2.0,3.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Lawrence,26.0,0.0,2.0,0.0,24.0,164.0,85.0,79.0,0.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Lee,16.0,5.0,1.0,0.0,10.0,14.0,10.0,4.0,0.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Little River,2.0,0.0,0.0,0.0,2.0,33.0,7.0,23.0,3.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Logan,18.0,0.0,6.0,1.0,11.0,258.0,91.0,145.0,22.0,5.0,
ARKANSAS-Nonmetropolitan Counties,Marion,41.0,0.0,3.0,0.0,38.0,169.0,44.0,122.0,3.0,3.0,
ARKANSAS-Nonmetropolitan Counties,Mississippi,43.0,0.0,8.0,5.0,30.0,400.0,99.0,254.0,47.0,4.0,
ARKANSAS-Nonmetropolitan Counties,Monroe,2.0,0.0,0.0,0.0,2.0,58.0,16.0,26.0,16.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Montgomery2,,0.0,3.0,0.0,,157.0,38.0,104.0,15.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Nevada,16.0,2.0,1.0,1.0,12.0,32.0,13.0,17.0,2.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Ouachita,29.0,1.0,2.0,5.0,21.0,215.0,87.0,106.0,22.0,2.0,
ARKANSAS-Nonmetropolitan Counties,Polk,31.0,0.0,1.0,2.0,28.0,154.0,66.0,77.0,11.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Pope,42.0,0.0,9.0,0.0,33.0,378.0,140.0,209.0,29.0,3.0,
ARKANSAS-Nonmetropolitan Counties,Randolph,7.0,0.0,3.0,0.0,4.0,12.0,5.0,7.0,0.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Scott,6.0,0.0,4.0,0.0,2.0,67.0,33.0,32.0,2.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Searcy,1.0,0.0,0.0,0.0,1.0,15.0,11.0,3.0,1.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Sevier,14.0,0.0,3.0,2.0,9.0,144.0,58.0,81.0,5.0,1.0,
ARKANSAS-Nonmetropolitan Counties,St. Francis,40.0,1.0,2.0,12.0,25.0,401.0,129.0,271.0,1.0,2.0,
ARKANSAS-Nonmetropolitan Counties,Stone,3.0,0.0,0.0,0.0,3.0,31.0,13.0,16.0,2.0,1.0,
ARKANSAS-Nonmetropolitan Counties,Union,25.0,0.0,1.0,6.0,18.0,421.0,68.0,313.0,40.0,3.0,
ARKANSAS-Nonmetropolitan Counties,Van Buren,21.0,0.0,1.0,0.0,20.0,124.0,26.0,80.0,18.0,0.0,
ARKANSAS-Nonmetropolitan Counties,White,62.0,0.0,14.0,3.0,45.0,789.0,285.0,420.0,84.0,4.0,
