State,County,Violentcrime,Murder andnonnegligentmanslaughter,Rape(reviseddefinition)1,Rape(legacydefinition)2,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny-theft,Motorvehicletheft,Arson3,
ARKANSAS - Metropolitan Counties,Crawford,52.0,0.0,6.0,,0.0,46.0,367.0,91.0,242.0,34.0,2.0,
ARKANSAS - Metropolitan Counties,Crittenden,102.0,2.0,8.0,,6.0,86.0,348.0,101.0,218.0,29.0,2.0,
ARKANSAS - Metropolitan Counties,Faulkner,116.0,2.0,25.0,,4.0,85.0,1234.0,312.0,752.0,170.0,5.0,
ARKANSAS - Metropolitan Counties,Garland,387.0,0.0,45.0,,18.0,324.0,2021.0,890.0,983.0,148.0,0.0,
ARKANSAS - Metropolitan Counties,Grant,18.0,0.0,4.0,,0.0,14.0,179.0,45.0,117.0,17.0,0.0,
ARKANSAS - Metropolitan Counties,Lincoln,2.0,0.0,0.0,,0.0,2.0,87.0,33.0,48.0,6.0,1.0,
ARKANSAS - Metropolitan Counties,Lonoke,80.0,0.0,11.0,,2.0,67.0,435.0,76.0,277.0,82.0,4.0,
ARKANSAS - Metropolitan Counties,Madison,37.0,0.0,8.0,,0.0,29.0,146.0,55.0,84.0,7.0,0.0,
ARKANSAS - Metropolitan Counties,Miller,35.0,0.0,3.0,,1.0,31.0,282.0,137.0,117.0,28.0,1.0,
ARKANSAS - Metropolitan Counties,Perry,53.0,0.0,6.0,,0.0,47.0,218.0,85.0,124.0,9.0,0.0,
ARKANSAS - Metropolitan Counties,Poinsett,3.0,0.0,2.0,,0.0,1.0,8.0,5.0,3.0,0.0,2.0,
ARKANSAS - Metropolitan Counties,Pulaski,357.0,4.0,23.0,,35.0,295.0,2014.0,629.0,1204.0,181.0,9.0,
ARKANSAS - Metropolitan Counties,Saline,213.0,0.0,18.0,,8.0,187.0,727.0,194.0,456.0,77.0,3.0,
ARKANSAS - Metropolitan Counties,Sebastian,62.0,0.0,10.0,,1.0,51.0,253.0,64.0,177.0,12.0,2.0,
ARKANSAS - Metropolitan Counties,Washington,163.0,2.0,11.0,,4.0,146.0,483.0,172.0,264.0,47.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Arkansas,7.0,1.0,0.0,,1.0,5.0,133.0,22.0,90.0,21.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Ashley,31.0,1.0,4.0,,1.0,25.0,273.0,106.0,159.0,8.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Baxter,38.0,0.0,14.0,,2.0,22.0,651.0,174.0,441.0,36.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Boone,50.0,1.0,21.0,,0.0,28.0,361.0,114.0,220.0,27.0,7.0,
ARKANSAS - Nonmetropolitan Counties,Calhoun,2.0,0.0,0.0,,0.0,2.0,33.0,11.0,18.0,4.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Carroll,43.0,0.0,7.0,,1.0,35.0,178.0,34.0,126.0,18.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Chicot,4.0,0.0,1.0,,0.0,3.0,142.0,62.0,80.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Clark,10.0,0.0,2.0,,1.0,7.0,94.0,19.0,65.0,10.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Cleburne,39.0,0.0,9.0,,2.0,28.0,437.0,146.0,235.0,56.0,7.0,
ARKANSAS - Nonmetropolitan Counties,Columbia,29.0,0.0,1.0,,0.0,28.0,105.0,38.0,51.0,16.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Conway,28.0,0.0,5.0,,2.0,21.0,292.0,49.0,216.0,27.0,5.0,
ARKANSAS - Nonmetropolitan Counties,Cross,31.0,0.0,5.0,,1.0,25.0,161.0,29.0,114.0,18.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Dallas,5.0,0.0,0.0,,0.0,5.0,30.0,12.0,15.0,3.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Drew,52.0,0.0,11.0,,0.0,41.0,140.0,50.0,79.0,11.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Franklin,38.0,1.0,11.0,,1.0,25.0,186.0,66.0,111.0,9.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Fulton,11.0,1.0,1.0,,1.0,8.0,90.0,0.0,79.0,11.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Greene,18.0,1.0,1.0,,0.0,16.0,171.0,57.0,99.0,15.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Hempstead,56.0,0.0,14.0,,0.0,42.0,246.0,34.0,196.0,16.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Howard,4.0,0.0,0.0,,0.0,4.0,78.0,45.0,33.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Independence,176.0,1.0,42.0,,10.0,123.0,1298.0,384.0,829.0,85.0,16.0,
ARKANSAS - Nonmetropolitan Counties,Izard,24.0,0.0,5.0,,0.0,19.0,329.0,77.0,241.0,11.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Jackson,39.0,1.0,1.0,,0.0,37.0,197.0,45.0,133.0,19.0,6.0,
ARKANSAS - Nonmetropolitan Counties,Johnson,40.0,1.0,11.0,,1.0,27.0,170.0,98.0,65.0,7.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Lafayette,7.0,0.0,0.0,,0.0,7.0,56.0,15.0,40.0,1.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Lawrence,11.0,0.0,1.0,,1.0,9.0,57.0,19.0,35.0,3.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Lee,2.0,0.0,0.0,,1.0,1.0,10.0,3.0,7.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Marion,42.0,0.0,5.0,,1.0,36.0,241.0,74.0,163.0,4.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Mississippi,28.0,0.0,3.0,,2.0,23.0,373.0,83.0,265.0,25.0,1.0,
ARKANSAS - Nonmetropolitan Counties,Monroe,2.0,1.0,0.0,,1.0,0.0,17.0,1.0,16.0,0.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Montgomery,20.0,1.0,8.0,,0.0,11.0,110.0,46.0,59.0,5.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Nevada,5.0,0.0,2.0,,0.0,3.0,33.0,18.0,14.0,1.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Newton,17.0,0.0,6.0,,0.0,11.0,60.0,34.0,25.0,1.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Pike,13.0,1.0,5.0,,0.0,7.0,68.0,19.0,45.0,4.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Polk,35.0,0.0,9.0,,0.0,26.0,185.0,54.0,115.0,16.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Pope,60.0,1.0,15.0,,0.0,44.0,414.0,138.0,247.0,29.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Prairie,11.0,0.0,3.0,,0.0,8.0,62.0,21.0,30.0,11.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Randolph,33.0,4.0,5.0,,0.0,24.0,235.0,91.0,136.0,8.0,3.0,
ARKANSAS - Nonmetropolitan Counties,Scott,20.0,1.0,3.0,,1.0,15.0,104.0,45.0,57.0,2.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Searcy,9.0,0.0,2.0,,0.0,7.0,22.0,6.0,12.0,4.0,1.0,
