State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,
ARKANSAS-Metropolitan Counties,Lonoke,128.0,0.0,22.0,5.0,101.0,624.0,280.0,266.0,78.0,4.0,,
ARKANSAS-Metropolitan Counties,Madison,30.0,1.0,4.0,1.0,24.0,75.0,36.0,34.0,5.0,0.0,,
ARKANSAS-Metropolitan Counties,Perry,14.0,0.0,1.0,0.0,13.0,69.0,34.0,32.0,3.0,1.0,,
ARKANSAS-Metropolitan Counties,Poinsett,49.0,0.0,2.0,1.0,46.0,76.0,69.0,3.0,4.0,4.0,,
ARKANSAS-Metropolitan Counties,Pulaski2,374.0,2.0,22.0,44.0,306.0,1964.0,858.0,889.0,217.0,16.0,,
ARKANSAS-Metropolitan Counties,Saline,131.0,3.0,27.0,10.0,91.0,1044.0,327.0,668.0,49.0,6.0,,
ARKANSAS-Metropolitan Counties,Sebastian,79.0,0.0,6.0,4.0,69.0,399.0,147.0,232.0,20.0,2.0,,
ARKANSAS-Metropolitan Counties,Washington,132.0,0.0,15.0,2.0,115.0,526.0,200.0,284.0,42.0,5.0,,
ARKANSAS-Nonmetropolitan Counties,Arkansas,1.0,0.0,0.0,0.0,1.0,93.0,30.0,51.0,12.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Ashley2,10.0,0.0,2.0,2.0,6.0,201.0,81.0,113.0,7.0,4.0,,
ARKANSAS-Nonmetropolitan Counties,Baxter,37.0,1.0,6.0,1.0,29.0,607.0,118.0,459.0,30.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Boone2,33.0,0.0,5.0,0.0,28.0,238.0,57.0,179.0,2.0,7.0,,
ARKANSAS-Nonmetropolitan Counties,Bradley,9.0,1.0,1.0,0.0,7.0,51.0,23.0,18.0,10.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Calhoun,0.0,0.0,0.0,0.0,0.0,28.0,12.0,10.0,6.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Carroll,27.0,0.0,0.0,0.0,27.0,230.0,49.0,151.0,30.0,3.0,,
ARKANSAS-Nonmetropolitan Counties,Chicot2,8.0,0.0,0.0,3.0,5.0,74.0,43.0,27.0,4.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Clark,16.0,0.0,1.0,3.0,12.0,148.0,58.0,84.0,6.0,2.0,,
ARKANSAS-Nonmetropolitan Counties,Cleburne,60.0,2.0,7.0,3.0,48.0,293.0,129.0,142.0,22.0,7.0,,
ARKANSAS-Nonmetropolitan Counties,Columbia,26.0,0.0,1.0,1.0,24.0,206.0,81.0,112.0,13.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Cross,62.0,0.0,5.0,0.0,57.0,233.0,34.0,185.0,14.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Dallas,2.0,0.0,0.0,0.0,2.0,30.0,14.0,14.0,2.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Drew,38.0,0.0,1.0,1.0,36.0,177.0,83.0,81.0,13.0,7.0,,
ARKANSAS-Nonmetropolitan Counties,Fulton,17.0,1.0,1.0,0.0,15.0,108.0,49.0,51.0,8.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Greene,15.0,2.0,3.0,0.0,10.0,157.0,39.0,114.0,4.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Hempstead,31.0,3.0,4.0,0.0,24.0,207.0,69.0,100.0,38.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Howard,9.0,0.0,1.0,0.0,8.0,63.0,32.0,30.0,1.0,5.0,,
ARKANSAS-Nonmetropolitan Counties,Independence2,186.0,2.0,18.0,14.0,152.0,1199.0,493.0,616.0,90.0,18.0,,
ARKANSAS-Nonmetropolitan Counties,Izard,5.0,0.0,2.0,0.0,3.0,70.0,35.0,32.0,3.0,4.0,,
ARKANSAS-Nonmetropolitan Counties,Jackson,47.0,0.0,5.0,1.0,41.0,168.0,62.0,89.0,17.0,6.0,,
ARKANSAS-Nonmetropolitan Counties,Johnson2,20.0,0.0,1.0,0.0,19.0,194.0,130.0,64.0,0.0,9.0,,
ARKANSAS-Nonmetropolitan Counties,Lawrence,16.0,1.0,2.0,0.0,13.0,145.0,60.0,85.0,0.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Little River,10.0,0.0,4.0,0.0,6.0,55.0,33.0,19.0,3.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Logan,19.0,1.0,4.0,1.0,13.0,270.0,73.0,162.0,35.0,2.0,,
ARKANSAS-Nonmetropolitan Counties,Marion,43.0,0.0,2.0,2.0,39.0,218.0,74.0,141.0,3.0,2.0,,
ARKANSAS-Nonmetropolitan Counties,Mississippi,29.0,3.0,11.0,4.0,11.0,366.0,81.0,231.0,54.0,3.0,,
ARKANSAS-Nonmetropolitan Counties,Nevada2,1.0,0.0,0.0,0.0,1.0,19.0,11.0,4.0,4.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Newton,23.0,2.0,1.0,0.0,20.0,96.0,39.0,47.0,10.0,2.0,,
ARKANSAS-Nonmetropolitan Counties,Ouachita,21.0,1.0,2.0,1.0,17.0,122.0,56.0,58.0,8.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Polk,20.0,0.0,5.0,2.0,13.0,118.0,69.0,43.0,6.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Pope,29.0,0.0,11.0,0.0,18.0,449.0,183.0,230.0,36.0,4.0,,
ARKANSAS-Nonmetropolitan Counties,Prairie,1.0,0.0,0.0,0.0,1.0,83.0,25.0,49.0,9.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,Randolph,0.0,0.0,0.0,0.0,0.0,59.0,3.0,55.0,1.0,2.0,,
ARKANSAS-Nonmetropolitan Counties,Sevier,26.0,1.0,1.0,1.0,23.0,247.0,115.0,110.0,22.0,0.0,,
ARKANSAS-Nonmetropolitan Counties,St. Francis,28.0,0.0,3.0,9.0,16.0,482.0,149.0,333.0,0.0,1.0,,
ARKANSAS-Nonmetropolitan Counties,Union,34.0,1.0,8.0,5.0,20.0,415.0,72.0,307.0,36.0,2.0,,
ARKANSAS-Nonmetropolitan Counties,White,42.0,3.0,10.0,4.0,25.0,808.0,283.0,423.0,102.0,3.0,,
ARKANSAS-Nonmetropolitan Counties,Yell,40.0,1.0,6.0,1.0,32.0,172.0,94.0,59.0,19.0,4.0,,
CALIFORNIA-Metropolitan Counties,Alameda,728.0,5.0,24.0,287.0,412.0,2829.0,626.0,1386.0,817.0,24.0,,
CALIFORNIA-Metropolitan Counties,Butte,145.0,1.0,22.0,25.0,97.0,1373.0,509.0,850.0,14.0,13.0,,
CALIFORNIA-Metropolitan Counties,Contra Costa,548.0,16.0,29.0,204.0,299.0,3359.0,1169.0,2179.0,11.0,27.0,,
CALIFORNIA-Metropolitan Counties,El Dorado,235.0,7.0,17.0,21.0,190.0,2038.0,738.0,1286.0,14.0,20.0,,
CALIFORNIA-Metropolitan Counties,Fresno,652.0,19.0,30.0,126.0,477.0,6121.0,1735.0,3472.0,914.0,280.0,,
CALIFORNIA-Metropolitan Counties,Imperial,121.0,2.0,7.0,14.0,98.0,976.0,315.0,633.0,28.0,9.0,,
CALIFORNIA-Metropolitan Counties,Kern,1891.0,23.0,137.0,461.0,1270.0,10541.0,3272.0,5814.0,1455.0,389.0,,
CALIFORNIA-Metropolitan Counties,Kings,177.0,3.0,8.0,18.0,148.0,607.0,213.0,332.0,62.0,10.0,,
CALIFORNIA-Metropolitan Counties,Los Angeles,7362.0,135.0,232.0,1967.0,5028.0,19893.0,5311.0,9200.0,5382.0,417.0,,
CALIFORNIA-Metropolitan Counties,Madera,252.0,2.0,12.0,27.0,211.0,1388.0,520.0,849.0,19.0,2.0,,
CALIFORNIA-Metropolitan Counties,Marin,148.0,2.0,10.0,27.0,109.0,961.0,286.0,673.0,2.0,10.0,,
CALIFORNIA-Metropolitan Counties,Merced,469.0,5.0,16.0,55.0,393.0,2392.0,775.0,1603.0,14.0,8.0,,
CALIFORNIA-Metropolitan Counties,Monterey,187.0,6.0,15.0,53.0,113.0,1569.0,526.0,1029.0,14.0,18.0,,
CALIFORNIA-Metropolitan Counties,Napa,60.0,0.0,5.0,4.0,51.0,507.0,187.0,316.0,4.0,2.0,,
CALIFORNIA-Metropolitan Counties,Orange,163.0,0.0,5.0,27.0,131.0,1425.0,298.0,982.0,145.0,5.0,,
CALIFORNIA-Metropolitan Counties,Placer,296.0,3.0,21.0,34.0,238.0,1939.0,691.0,1209.0,39.0,9.0,,
CALIFORNIA-Metropolitan Counties,Riverside,1515.0,24.0,82.0,387.0,1022.0,13387.0,3577.0,7412.0,2398.0,43.0,,
CALIFORNIA-Metropolitan Counties,Sacramento,3282.0,47.0,194.0,1274.0,1767.0,15525.0,4580.0,10771.0,174.0,195.0,,
CALIFORNIA-Metropolitan Counties,San Benito,66.0,1.0,10.0,1.0,54.0,294.0,111.0,172.0,11.0,2.0,,
CALIFORNIA-Metropolitan Counties,San Bernardino,1295.0,23.0,69.0,206.0,997.0,6866.0,2153.0,3326.0,1387.0,130.0,,
CALIFORNIA-Metropolitan Counties,San Diego,1516.0,14.0,93.0,262.0,1147.0,7454.0,2010.0,3783.0,1661.0,43.0,,
CALIFORNIA-Metropolitan Counties,San Joaquin,1085.0,9.0,27.0,205.0,844.0,5388.0,1676.0,3576.0,136.0,24.0,,
CALIFORNIA-Metropolitan Counties,San Luis Obispo,210.0,2.0,26.0,14.0,168.0,1340.0,474.0,859.0,7.0,11.0,,
CALIFORNIA-Metropolitan Counties,San Mateo,221.0,5.0,12.0,45.0,159.0,1760.0,190.0,1293.0,277.0,9.0,,
CALIFORNIA-Metropolitan Counties,Santa Barbara,171.0,2.0,19.0,33.0,117.0,1884.0,569.0,1307.0,8.0,19.0,,
CALIFORNIA-Metropolitan Counties,Santa Clara,286.0,1.0,27.0,46.0,212.0,1817.0,465.0,1144.0,208.0,5.0,,
CALIFORNIA-Metropolitan Counties,Santa Cruz,332.0,3.0,32.0,61.0,236.0,2298.0,692.0,1595.0,11.0,27.0,,
CALIFORNIA-Metropolitan Counties,Shasta,447.0,1.0,33.0,19.0,394.0,1104.0,526.0,551.0,27.0,11.0,,
CALIFORNIA-Metropolitan Counties,Solano,123.0,1.0,9.0,26.0,87.0,418.0,177.0,231.0,10.0,13.0,,
CALIFORNIA-Metropolitan Counties,Sonoma,631.0,3.0,34.0,48.0,546.0,1628.0,667.0,940.0,21.0,19.0,,
CALIFORNIA-Metropolitan Counties,Stanislaus,522.0,4.0,30.0,118.0,370.0,3561.0,1315.0,1877.0,369.0,169.0,,
CALIFORNIA-Metropolitan Counties,Sutter,109.0,0.0,7.0,9.0,93.0,719.0,229.0,449.0,41.0,5.0,,
